Designator,Mid X,Mid Y,Layer,Rotation
C5,68.33,16.18,Bottom,270.0
C13,11.10,21.03,Bottom,0.0
C14,11.10,18.52,Bottom,0.0
C15,20.73,20.27,Bottom,90.0
C16,17.73,14.99,Bottom,90.0
C17,24.08,14.99,Bottom,90.0
C21,34.77,25.55,Bottom,90.0
C27,40.82,23.85,Bottom,270.0
D4,26.31,29.97,Bottom,0.0
I2C_PULL_UP,20.17,-14.22,Bottom,90.0
L1,37.80,24.71,Bottom,180.0
R13,14.12,21.03,Bottom,180.0
R14,14.12,18.52,Bottom,180.0
R15,17.73,18.01,Bottom,270.0
R16,24.08,18.01,Bottom,270.0
R23,14.40,23.60,Bottom,180.0
R27,51.46,12.04,Bottom,270.0
R28,50.39,12.04,Bottom,270.0
R42,20.68,-16.59,Bottom,90.0
R43,19.66,-16.59,Bottom,90.0
