Designator,Mid X,Mid Y,Layer,Rotation
BUCK,27.94,-0.25,Top,270.0
C1,57.40, 1.02,Top,90.0
C2,55.37, 1.02,Top,90.0
C3,27.94,-3.81,Top,180.0
C4,21.46, 5.38,Top,270.0
C5,59.05,13.21,Top,90.0
C6,11.43,-21.59,Top,180.0
C7,22.48, 2.03,Top,0.0
C8,59.69, 1.02,Top,90.0
C9,32.77,-12.57,Top,0.0
C10,25.53,-17.78,Top,90.0
C11,23.52,-19.91,Top,270.0
C12,24.00,-17.65,Top,90.0
C14,41.15,-18.92,Top,90.0
C18,27.00,12.12,Top,180.0
C19,24.56,20.88,Top,0.0
C20,31.12,18.16,Top,180.0
C21,30.10,12.70,Top,180.0
C22,36.45,11.30,Top,270.0
C23,37.97,10.92,Top,270.0
C24,32.77,-19.56,Top,0.0
C25,33.91,-0.89,Top,270.0
C26,39.75,16.13,Top,90.0
C27,32.00,22.73,Top,0.0
C28,19.41,-2.03,Top,270.0
C29,21.56,-2.03,Top,270.0
C30,23.19,-1.91,Top,270.0
C31,13.39, 4.83,Top,180.0
C32,25.02, 5.46,Top,270.0
C33,22.99, 5.46,Top,270.0
C36,19.43,-12.70,Top,90.0
C37,35.43,21.97,Top,90.0
D1,29.59, 4.32,Top,180.0
D2,63.75, 5.84,Top,270.0
D8, 1.52,-12.19,Top,0.0
D9, 1.52,-24.38,Top,0.0
D10, 7.24,-24.38,Top,0.0
IC1,66.92, 5.84,Top,90.0
IC2,52.71,-10.79,Top,270.0
IC3,20.32,-17.40,Top,90.0
IC4,34.90,15.95,Top,90.0
IC6,58.04,16.64,Top,270.0
IC8,26.42,-8.89,Top,90.0
J2, 0.00,-18.29,Top,270.0
J3,37.01,-13.26,Top,270.0
J4,37.01,-5.21,Top,270.0
L1,31.50,20.57,Top,0.0
L3,35.89, 4.29,Top,90.0
LDO,33.53,-16.13,Top,90.0
LED_IO35,38.86,-19.69,Top,90.0
POE1,49.45,14.71,Top,90.0
POWER, 1.27, 7.24,Top,180.0
Q1,15.67,-17.53,Top,270.0
Q2,60.96, 5.97,Top,90.0
Q5,12.07,-18.29,Top,0.0
Q6, 9.27,-18.29,Top,90.0
R1,15.88,-19.56,Top,180.0
R2,13.72,-21.59,Top,180.0
R3,16.00,-15.37,Top,0.0
R4,24.89,-3.81,Top,0.0
R5,35.05,-0.89,Top,270.0
R6, 6.99, 7.24,Top,180.0
R7, 4.45,-12.32,Top,180.0
R8, 4.45,-24.51,Top,180.0
R9,11.40,-15.77,Top,270.0
R10,13.21,-20.14,Top,180.0
R11,57.91,13.21,Top,270.0
R12,24.64,-13.08,Top,270.0
R13,28.32,-13.08,Top,90.0
R14,26.90,-13.08,Top,270.0
R17,24.64,19.30,Top,90.0
R18,23.50,19.30,Top,90.0
R19,25.40,13.72,Top,270.0
R20,26.49,13.69,Top,270.0
R21,32.77,-0.89,Top,90.0
R22,33.53,11.30,Top,270.0
R23,34.54,11.30,Top,270.0
R24,29.64,14.22,Top,180.0
R25,38.25,17.02,Top,90.0
R26,65.91, 3.43,Top,0.0
R27,40.89,15.62,Top,90.0
R28,41.91,15.62,Top,90.0
R29,44.20,15.62,Top,270.0
R30,42.93,15.62,Top,90.0
R31,61.34, 3.84,Top,0.0
R32,11.28, 6.86,Top,0.0
R33,25.78,-13.08,Top,270.0
R35,18.29,-12.70,Top,270.0
R36,20.57,-12.70,Top,270.0
R37,17.17,-4.42,Top,270.0
R40,13.59,-11.68,Top,0.0
R41,13.59,-7.67,Top,0.0
R42,35.69,-8.76,Top,90.0
R43,34.54,-8.76,Top,90.0
R44,34.29,21.97,Top,270.0
RESET,11.56,-23.88,Top,0.0
SD_CARD,66.93,14.61,Top,90.0
T2,32.13,-5.08,Top,90.0
TVS1,19.43,-9.02,Top,270.0
TVS2,23.37,22.48,Top,0.0
TVS3,23.37,23.44,Top,0.0
TVS4,23.37,13.59,Top,0.0
TVS5,23.37,14.61,Top,0.0
J5,11.05,16.00,Top,0.0
T3,3.18,-5.08,Top,270.0
T1,3.18, 3.81,Top,270.0
